Id	Folio	Evento	Periodo	Minutos	Vuelta	Segundos	Etapa	Bin1	Bin2	Bin3	Bin4	Bin5	Bin6	Rc1	Rc2	Rc3	Rc4	Rc5	Rc6	Calificacion	Seccion	Resultado	Inicio	Salida	Termino
1	356833	comipems-15	1516	35	24	59	7	1111111111	1111111111	1111110111	1101001111	1111110111	1101110110	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 There are@28 go@29 dance@30 likes	@31 don@32 doesn@33 don@34 Do@35 Does...play@36 does...teaches@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 didn@47 can@48did@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettiest @54 as quiet as@55 tallest@56 have been @57 isn@58 have traveled@59 yet@60 any	86.44	B+	Pre-Intermedio	2015-07-29 22:35:41	2015-07-29 22:58:29	S
2	386887	comipems-15	1516	49	10	54	7	1111111111	1111111111	1111111111	1111111111	1111111111	1111111111	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Do...play@36 does...teach@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 didn@47 didn@48did@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettier @54 as quiet as@55 tallest@56 have been @57 hasn@58 have traveled@59 yet@60 no	100	B+	Pre-Intermedio	2015-07-29 22:35:21	2015-07-29 22:43:57	S
3	396520	comipems-15	1516	47	12	13	7	1111111111	1111111110	1111010111	1111001111	0111110111	1101111010	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 her	@21 Their@22 parents@23sister@24is it@25 Is@26 There is@27 There are@28 go@29 dance@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Does...plays@36 does...teaches@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Is@42 were@43 ate@44 wrote@45 didn@46 didn@47 can@48did@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettiest @54 as quiet as@55 tallest@56 have been @57 hasn@58 traveled@59 yet@60 none 	83.05	B+	Pre-Intermedio	2015-07-29 22:35:01	2015-07-29 22:46:25	S
4	354261	comipems-15	1516	34	25	60	7	1111101111	1011110110	0011110100	0101010110	1110000001	1100010000	@1 am@2 is@3 are@4 Is@5 Are@6Is@7 an@8 a@9 an@10 isn	@11 am not @12not@13 Who@14 What@15When@16 are@17 are@18 are@19 my@20 her	@21 Her@22 cousins@23sister@24is it@25 It@26 There is@27 Is@28 go@29 to dance@30 to like	@31 am not@32 doesn@33 isn@34 Do@35 Does...plays@36 does...teach@37 do@38 is not taking@39 are...doing@40 wasn	@41 Was@42 were@43 ate@44 are writing@45 don@46 won@47 can@48are@49is...going@50are going to visit	@51 Are ... going to take@52 more attractive@53 more pretty @54 as quiet @55 as tall@56 have been @57 didn@58 are traveling@59 never@60 nothing	54.24	A+	Básico	2015-07-29 22:37:38	2015-07-29 22:59:49	S
5	377233	comipems-15	1516	50	9	55	7	1111101001	1111101011	0111111111	1100100010	0000010001	1100010100	@1 am@2 is@3 are@4 Is@5 Are@6Is@7 an@8 an@9 a@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 is@17 is@18 is@19 my@20 his	@21 Her@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 don@32 doesn@33 don@34 Are@35 Do...play@36 do...teach@37 do@38 not take@39 are...doing@40 wasn	@41 Did@42 are@43 eating@44 write@45 don@46 didn@47 don@48are@49is...going@50are going to visit	@51 Are ... going to take@52 more attractive@53 more pretty @54 so quiet that@55 taller@56 have been @57 didn@58 have traveled@59 never@60 any	55.93	B	Pre-Intermedio	2015-07-29 22:35:29	2015-07-29 22:43:28	S
6	347320	comipems-15	1516	59	0	14	7	1110101000	1001100010	0111101111	1000001110	1111011100	1101110010	@1 am@2 is@3 are@4 Are@5 Are@6Is@7 an@8 any@9 a@10 aren	@11 am not @12not be@13 Where@14 What@15When@16 is@17 are@18 is@19 my@20 her	@21 Her@22 parents@23sister@24is it@25 It@26 There are@27 Are there@28 go@29 dance@30 likes	@31 don@32 don@33 isn@34 Are@35 Do...plays@36 does...teaches@37 am doing@38 is not taking@39 are...doing@40 wasn	@41 Was@42 were@43 ate@44 wrote@45 can@46 didn@47 didn@48did@49does....go@50 visited	@51 Are ... going to take@52 more attractive@53 prettiest @54 as quiet as@55 tallest@56 have been @57 doesn@58 traveled@59 yet@60 any	55.93	A	Introductorio	2015-07-29 22:39:32	2015-07-29 23:20:27	S
7	379185	comipems-15	1516	42	17	5	7	1111110100	1001100010	1100111111	0001001011	1111101001	0110111110	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 a@8 a@9 a@10 aren	@11 am not @12not be@13 What@14 What@15When@16 be@17 are@18 be@19 my@20 her	@21 Their@22 parents@23 daughter@24it@25 It@26 There is@27 Are there@28 go@29 dance@30 likes	@31 not@32 don@33 don@34 Do@35 Does...plays@36 does...teaches@37 am doing@38 not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 don@47 didn@48do@49does....go@50are going to visit	@51 Did ... take@52 more attractive@53 prettier @54 so quiet that@55 tallest@56 have been @57 hasn@58 have traveled@59 yet@60 none 	61.02	A+	Básico	2015-07-29 22:37:45	2015-07-29 22:53:56	S
8	399987	comipems-15	1516	49	10	5	7	1111101100	1001101010	0110111110	1011100001	0100000001	0000010100	@1 am@2 is@3 are@4 Is@5 Are@6Is@7 an@8 a@9 a@10 not be	@11 am not @12not be@13 What@14 What@15When@16 is@17 is@18 is@19 my@20 her	@21 Our@22 parents@23sister@24is@25 It@26 There is@27 Are there@28 go@29 dance@30 like	@31 don@32 don@33 doesn@34 Do@35 Do...play@36 do...teach@37 can do@38 does not take@39 did...do@40 weren	@41 Is@42 were@43 eat@44 can write@45 can@46 won@47 won@48do@49do....go@50are going to visit	@51 Are ... going taking@52 the most attractive@53 more pretty @54 as quiet @55 as tall@56 have been @57 doesn@58 have traveled@59 after@60 nothing	45.76	A+	Básico	2015-07-29 22:45:11	2015-07-29 23:17:12	S
9	343217	comipems-15	1516	39	20	39	6	1111111101	1111111110	0111010110	1000010010	1111000000	-	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 a@10 isn	@11 am not @12aren@13 Who@14 What@15When@16 are@17 is@18 are@19 my@20 her	@21 Her@22 parents@23sister@24is it@25 Is it@26 There is@27 There are@28 go@29 dance@30 like	@31 don@32 don@33 don@34 Are@35 Does...plays@36 does...teach@37 doing@38 not take@39 are...doing@40 don	@41 Was@42 were@43 ate@44 wrote@45 can@46 won@47 won@48does@49do....go@50 visited	0	-	-	-	2015-07-29 22:39:04	2015-07-29 22:57:29	N
10	410445	comipems-15	1516	43	16	19	7	1111111111	1111011111	1111111101	1111111111	1111111111	1110010110	@1 am@2 is@3 are@4 Is@5 Are@6Are@7 an@8 a@9 an@10 isn	@11 am not @12aren@13 Who@14 What@15 Where@16 are@17 is@18 are@19 my@20 his	@21 Their@22 parents@23sister@24is it@25 It@26 There is@27 Are there@28 go@29 dances@30 likes	@31 don@32 doesn@33 doesn@34 Do@35 Do...play@36 does...teach@37 am doing@38 is not taking@39 are...doing@40 weren	@41 Was@42 were@43 ate@44 wrote@45 didn@46 didn@47 didn@48did@49did....go@50are going to visit	@51 Are ... going to take@52 more attractive@53 prettier @54 so quiet that@55 taller@56 have been @57 doesn@58 have traveled@59 yet@60 nothing	89.83	B	Pre-Intermedio	2015-07-29 22:37:00	2015-07-29 22:52:36	S
